cliente0,"Calendários ecológicos e produtos de papel reciclado, Mochilas sustentáveis feitas de materiais reciclados, Lanternas solares recarregáveis, Alimentos orgânicos, como frutas, legumes e grãos, Carregadores solares para dispositivos móveis"

cliente1,"Lâmpadas LED de baixo consumo de energia, Cremes faciais livres de parabenos e produtos químicos, Meias de fibra de bambu, Luminárias de LED de baixo consumo de energia"

cliente2,"Painéis solares para instalação em residências, Jeans feitos com materiais reciclados"

cliente3,"Mochilas sustentáveis feitas de materiais reciclados, Conjuntos de talheres de aço inoxidável, Alimentos orgânicos, como frutas, legumes e grãos"

cliente4,"Sabonetes artesanais de ingredientes naturais, Bolsas de couro vegano, Equipamentos de escalada seguros e duráveis, Detergente multiuso natural, Lâmpadas LED de baixo consumo de energia"

cliente5,"Barracas de acampamento respeitadoras do ambiente, Cremes faciais livres de parabenos e produtos químicos, Conjuntos de talheres de aço inoxidável"

cliente6,"Shampoo e condicionador orgânicos, Fones de ouvido bluetooth recarregáveis"

cliente7,"Alimentos orgânicos, como frutas, legumes e grãos, Lanternas solares recarregáveis, Livros sobre sustentabilidade e conservação ambiental, Móveis de madeira certificada pelo FSC"

cliente8,"Bolsas de couro vegano, Sabonetes artesanais de ingredientes naturais"

cliente9,"Escova de dentes de bambu, Detergente multiuso natural, Guias práticos para um estilo de vida mais ecológico, Bolsas de couro vegano, Lâmpadas LED de baixo consumo de energia"
